canonical_name,classification,paper_count,pct_of_papers,idf_score,graph_contribution,proposed_weight
Tangent Space Causal Inference,SPECIALIZED,1,1.0,4.605,0,6.00
Task-feature alignment data model,SPECIALIZED,1,1.0,4.605,0,6.00
Task-structured RL algorithms,SPECIALIZED,1,1.0,4.605,0,6.00
Temporal Activation Controller,SPECIALIZED,1,1.0,4.605,0,6.00
Temporal Dependency Modelling,SPECIALIZED,1,1.0,4.605,0,6.00
Temporal Shift Module (TSM),SPECIALIZED,1,1.0,4.605,0,6.00
Temporally asymmetric generalization of Oja's rule,SPECIALIZED,1,1.0,4.605,0,6.00
TensorFlow Hub API,SPECIALIZED,1,1.0,4.605,0,6.00
TernGrad,SPECIALIZED,1,1.0,4.605,0,6.00
Text-to-image diffusion models,SPECIALIZED,1,1.0,4.605,0,6.00
TextGrad,SPECIALIZED,1,1.0,4.605,0,6.00
Theoretical analysis of gradient descent sample inefficiency,SPECIALIZED,1,1.0,4.605,0,6.00
Theoretical framework for tokenization under Markovian data,SPECIALIZED,1,1.0,4.605,0,6.00
Theory of pattern classes under discrete data streams,SPECIALIZED,1,1.0,4.605,0,6.00
Tokenization,SPECIALIZED,1,1.0,4.605,0,6.00
Tool-augmented Outcome Reward Model,SPECIALIZED,1,1.0,4.605,0,6.00
Topographic Similarity,SPECIALIZED,1,1.0,4.605,0,6.00
Torch Hub API,SPECIALIZED,1,1.0,4.605,0,6.00
Trace,SPECIALIZED,1,1.0,4.605,0,6.00
Trace library,SPECIALIZED,1,1.0,4.605,0,6.00
Tracr,SPECIALIZED,1,1.0,4.605,0,6.00
Tractability conditions for compositional queries,SPECIALIZED,1,1.0,4.605,0,6.00
Transfer learning,SPECIALIZED,1,1.0,4.605,0,6.00
Transformer,SPECIALIZED,1,1.0,4.605,0,6.00
TransformerLens,SPECIALIZED,1,1.0,4.605,0,6.00
Tuned defaults,SPECIALIZED,1,1.0,4.605,0,6.00
Two-agent speaker-listener game,SPECIALIZED,1,1.0,4.605,0,6.00
Two-stage training algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
Two-stage training algorithm for one-layer transformer,SPECIALIZED,1,1.0,4.605,0,6.00
U-statistic,SPECIALIZED,1,1.0,4.605,0,6.00
UL2,SPECIALIZED,1,1.0,4.605,0,6.00
UL2 objective,SPECIALIZED,1,1.0,4.605,0,6.00
UMAP,SPECIALIZED,1,1.0,4.605,0,6.00
Uncoupled learning algorithm for local deviations,SPECIALIZED,1,1.0,4.605,0,6.00
Unelicitable backdoors,SPECIALIZED,1,1.0,4.605,0,6.00
Unet,SPECIALIZED,1,1.0,4.605,0,6.00
UniFastSgd,SPECIALIZED,1,1.0,4.605,0,6.00
UniFastSvrg,SPECIALIZED,1,1.0,4.605,0,6.00
UniSgd,SPECIALIZED,1,1.0,4.605,0,6.00
UniSvrg,SPECIALIZED,1,1.0,4.605,0,6.00
Uniform DAG sampling,SPECIALIZED,1,1.0,4.605,0,6.00
Uniform sampling algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
Unifying class of structured matrices,SPECIALIZED,1,1.0,4.605,0,6.00
Unigram models,SPECIALIZED,1,1.0,4.605,0,6.00
Universal Transformers,SPECIALIZED,1,1.0,4.605,0,6.00
Unsupervised Environment Design,SPECIALIZED,1,1.0,4.605,0,6.00
Unsupervised routing,SPECIALIZED,1,1.0,4.605,0,6.00
Update-and-deploy framework,SPECIALIZED,1,1.0,4.605,0,6.00
Update-and-deploy setting,SPECIALIZED,1,1.0,4.605,0,6.00
VGG,SPECIALIZED,1,1.0,4.605,0,6.00
Value Iteration,SPECIALIZED,1,1.0,4.605,0,6.00
Value function approximation,SPECIALIZED,1,1.0,4.605,0,6.00
Variational Score Distillation,SPECIALIZED,1,1.0,4.605,0,6.00
Variational inference,SPECIALIZED,1,1.0,4.605,0,6.00
Vector binding,SPECIALIZED,1,1.0,4.605,0,6.00
Vector fields,SPECIALIZED,1,1.0,4.605,0,6.00
Vector-contraction inequality,SPECIALIZED,1,1.0,4.605,0,6.00
Vectorised kl inverse,SPECIALIZED,1,1.0,4.605,0,6.00
ViT tiny,SPECIALIZED,1,1.0,4.605,0,6.00
Video diffusion model,SPECIALIZED,1,1.0,4.605,0,6.00
Vietoris-Rips filtration,SPECIALIZED,1,1.0,4.605,0,6.00
Ville's inequality,SPECIALIZED,1,1.0,4.605,0,6.00
Vine copulas,SPECIALIZED,1,1.0,4.605,0,6.00
Vision-Language Models,SPECIALIZED,1,1.0,4.605,0,6.00
Visual search,SPECIALIZED,1,1.0,4.605,0,6.00
Visual-prompt tuning,SPECIALIZED,1,1.0,4.605,0,6.00
Wasserstein,SPECIALIZED,1,1.0,4.605,0,6.00
Wasserstein OT,SPECIALIZED,1,1.0,4.605,0,6.00
Wasserstein gradient boosting,SPECIALIZED,1,1.0,4.605,0,6.00
Wasserstein gradient flows,SPECIALIZED,1,1.0,4.605,0,6.00
Wasserstein-boosted evidential learning (WEvidential),SPECIALIZED,1,1.0,4.605,0,6.00
Watts-Strogatz model,SPECIALIZED,1,1.0,4.605,0,6.00
Weight noise,SPECIALIZED,1,1.0,4.605,0,6.00
Weight orthogonalization,SPECIALIZED,1,1.0,4.605,0,6.00
Weight orthogonalization jailbreak method,SPECIALIZED,1,1.0,4.605,0,6.00
Weight rescaling following pretraining,SPECIALIZED,1,1.0,4.605,0,6.00
Weight rescaling technique,SPECIALIZED,1,1.0,4.605,0,6.00
Weighted finite automaton,SPECIALIZED,1,1.0,4.605,0,6.00
WizardMath,SPECIALIZED,1,1.0,4.605,0,6.00
X-support compatibility,SPECIALIZED,1,1.0,4.605,0,6.00
XGBoost,SPECIALIZED,1,1.0,4.605,0,6.00
active labeling framework,SPECIALIZED,1,1.0,4.605,0,6.00
adaptive gradient methods,SPECIALIZED,1,1.0,4.605,0,6.00
adversarial evaluation procedure,SPECIALIZED,1,1.0,4.605,0,6.00
adversarial suffixes,SPECIALIZED,1,1.0,4.605,0,6.00
adversarial training strategies,SPECIALIZED,1,1.0,4.605,0,6.00
algorithm enhancements for memory footprint reduction,SPECIALIZED,1,1.0,4.605,0,6.00
all-mpnet-base-v2,SPECIALIZED,1,1.0,4.605,0,6.00
alternative parameterization of low-rank problem,SPECIALIZED,1,1.0,4.605,0,6.00
ancestral sampling,SPECIALIZED,1,1.0,4.605,0,6.00
assignment-then-diffusion,SPECIALIZED,1,1.0,4.605,0,6.00
assignment-then-diffusion training strategy,SPECIALIZED,1,1.0,4.605,0,6.00
auditing algorithms,SPECIALIZED,1,1.0,4.605,0,6.00
basis for equivariant operations,SPECIALIZED,1,1.0,4.605,0,6.00
bidirectional graph search,SPECIALIZED,1,1.0,4.605,0,6.00
character-level tokenizer,SPECIALIZED,1,1.0,4.605,0,6.00
class-balanced subset,SPECIALIZED,1,1.0,4.605,0,6.00
composite hypothesis tests,SPECIALIZED,1,1.0,4.605,0,6.00
consistent binary relevance surrogate,SPECIALIZED,1,1.0,4.605,0,6.00
dPCA,SPECIALIZED,1,1.0,4.605,0,6.00
discounted occupancy couplings,SPECIALIZED,1,1.0,4.605,0,6.00
disentangled conditioning mechanism,SPECIALIZED,1,1.0,4.605,0,6.00
disentangled semantic and low-level conditioning mechanism,SPECIALIZED,1,1.0,4.605,0,6.00
double integral operator,SPECIALIZED,1,1.0,4.605,0,6.00
dynamic propagation models,SPECIALIZED,1,1.0,4.605,0,6.00
dynamic rescaling of network parameters and gradients,SPECIALIZED,1,1.0,4.605,0,6.00
efficient uncoupled learning algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
encrypted LM backdoor,SPECIALIZED,1,1.0,4.605,0,6.00
equivariant basis from graph Laplacian,SPECIALIZED,1,1.0,4.605,0,6.00
f-DP,SPECIALIZED,1,1.0,4.605,0,6.00
feed-forward layer,SPECIALIZED,1,1.0,4.605,0,6.00
fixed-point forward gradients,SPECIALIZED,1,1.0,4.605,0,6.00
flow algorithms on graphs,SPECIALIZED,1,1.0,4.605,0,6.00
flow equations describing learning,SPECIALIZED,1,1.0,4.605,0,6.00
formal verification,SPECIALIZED,1,1.0,4.605,0,6.00
game theory,SPECIALIZED,1,1.0,4.605,0,6.00
generalization bounds,SPECIALIZED,1,1.0,4.605,0,6.00
gradient penalties,SPECIALIZED,1,1.0,4.605,0,6.00
graph structure,SPECIALIZED,1,1.0,4.605,0,6.00
graph-based learning framework,SPECIALIZED,1,1.0,4.605,0,6.00
higher order graph neural networks,SPECIALIZED,1,1.0,4.605,0,6.00
inhibitory plasticity,SPECIALIZED,1,1.0,4.605,0,6.00
inhibitory plasticity rule,SPECIALIZED,1,1.0,4.605,0,6.00
intra-class spectral norm ratio,SPECIALIZED,1,1.0,4.605,0,6.00
jailbreaks via competing objectives,SPECIALIZED,1,1.0,4.605,0,6.00
jailbreaks via mismatched generalization,SPECIALIZED,1,1.0,4.605,0,6.00
k-gram models,SPECIALIZED,1,1.0,4.605,0,6.00
k-means clustering,SPECIALIZED,1,1.0,4.605,0,6.00
k-medoids,SPECIALIZED,1,1.0,4.605,0,6.00
k-nearest neighbors (kNN) decoder,SPECIALIZED,1,1.0,4.605,0,6.00
k-nearest neighbors regression,SPECIALIZED,1,1.0,4.605,0,6.00
kth-order Markov processes,SPECIALIZED,1,1.0,4.605,0,6.00
latent interventions,SPECIALIZED,1,1.0,4.605,0,6.00
linear models,SPECIALIZED,1,1.0,4.605,0,6.00
linear program,SPECIALIZED,1,1.0,4.605,0,6.00
mechanistic interpretability,SPECIALIZED,1,1.0,4.605,0,6.00
message passing,SPECIALIZED,1,1.0,4.605,0,6.00
meta-tuned default parameters,SPECIALIZED,1,1.0,4.605,0,6.00
method directly training on scenarios with high learnability,SPECIALIZED,1,1.0,4.605,0,6.00
minGPT,SPECIALIZED,1,1.0,4.605,0,6.00
mixture class-balancing method,SPECIALIZED,1,1.0,4.605,0,6.00
mixture method,SPECIALIZED,1,1.0,4.605,0,6.00
mmDiT,SPECIALIZED,1,1.0,4.605,0,6.00
modular arithmetic dataset,SPECIALIZED,1,1.0,4.605,0,6.00
multimodal language models,SPECIALIZED,1,1.0,4.605,0,6.00
multivariate Gaussian,SPECIALIZED,1,1.0,4.605,0,6.00
mutual fairness metric,SPECIALIZED,1,1.0,4.605,0,6.00
nMCTS,SPECIALIZED,1,1.0,4.605,0,6.00
nearly-linear time algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
nested feature selection,SPECIALIZED,1,1.0,4.605,0,6.00
neural network classifiers,SPECIALIZED,1,1.0,4.605,0,6.00
new seed-selection algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
no-regret learning procedures,SPECIALIZED,1,1.0,4.605,0,6.00
noisy replicate padding mechanism,SPECIALIZED,1,1.0,4.605,0,6.00
normal-form games,SPECIALIZED,1,1.0,4.605,0,6.00
normalization layers,SPECIALIZED,1,1.0,4.605,0,6.00
novel scene description benchmark,SPECIALIZED,1,1.0,4.605,0,6.00
online reinforcement learning,SPECIALIZED,1,1.0,4.605,0,6.00
optimal transport distances,SPECIALIZED,1,1.0,4.605,0,6.00
optimal transport theory,SPECIALIZED,1,1.0,4.605,0,6.00
option-level formulation,SPECIALIZED,1,1.0,4.605,0,6.00
password-locked backdoor,SPECIALIZED,1,1.0,4.605,0,6.00
pay-per-token pricing,SPECIALIZED,1,1.0,4.605,0,6.00
piVAE,SPECIALIZED,1,1.0,4.605,0,6.00
polytope theory,SPECIALIZED,1,1.0,4.605,0,6.00
program search,SPECIALIZED,1,1.0,4.605,0,6.00
program synthesis,SPECIALIZED,1,1.0,4.605,0,6.00
proportionally fair clustering,SPECIALIZED,1,1.0,4.605,0,6.00
pseudo-margin learning,SPECIALIZED,1,1.0,4.605,0,6.00
pseudo-margin learning scheme,SPECIALIZED,1,1.0,4.605,0,6.00
quantized assignment strategy,SPECIALIZED,1,1.0,4.605,0,6.00
random forest,SPECIALIZED,1,1.0,4.605,0,6.00
randomized online learning algorithm for finite Phi-regret,SPECIALIZED,1,1.0,4.605,0,6.00
red-teaming,SPECIALIZED,1,1.0,4.605,0,6.00
reinforcement learning-based centralized dynamic planning framework,SPECIALIZED,1,1.0,4.605,0,6.00
relational match-to-sample task,SPECIALIZED,1,1.0,4.605,0,6.00
remote photoplethysmography,SPECIALIZED,1,1.0,4.605,0,6.00
risk controlling prediction sets,SPECIALIZED,1,1.0,4.605,0,6.00
scaled noise schedule,SPECIALIZED,1,1.0,4.605,0,6.00
seed-selection algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
self-attention module,SPECIALIZED,1,1.0,4.605,0,6.00
sign operator,SPECIALIZED,1,1.0,4.605,0,6.00
subsampled Gaussian mechanism,SPECIALIZED,1,1.0,4.605,0,6.00
suite of RL algorithms,SPECIALIZED,1,1.0,4.605,0,6.00
t-SNE,SPECIALIZED,1,1.0,4.605,0,6.00
task prioritisation metrics,SPECIALIZED,1,1.0,4.605,0,6.00
teacher-student models,SPECIALIZED,1,1.0,4.605,0,6.00
ternary gradients,SPECIALIZED,1,1.0,4.605,0,6.00
text-to-image models,SPECIALIZED,1,1.0,4.605,0,6.00
tool-augmented ORM,SPECIALIZED,1,1.0,4.605,0,6.00
topological data analysis,SPECIALIZED,1,1.0,4.605,0,6.00
tree-based evidential learning,SPECIALIZED,1,1.0,4.605,0,6.00
tridiag-N-MIENF,SPECIALIZED,1,1.0,4.605,0,6.00
uncoupled learning algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
universal stochastic gradient methods,SPECIALIZED,1,1.0,4.605,0,6.00
vanilla Sinkhorn,SPECIALIZED,1,1.0,4.605,0,6.00
view decoupling,SPECIALIZED,1,1.0,4.605,0,6.00
vision language models,SPECIALIZED,1,1.0,4.605,0,6.00
w2w inversion,SPECIALIZED,1,1.0,4.605,0,6.00
weak supervision,SPECIALIZED,1,1.0,4.605,0,6.00
weight rescaling,SPECIALIZED,1,1.0,4.605,0,6.00
weights2weights (w2w) space,SPECIALIZED,1,1.0,4.605,0,6.00
weights2weights subspace,SPECIALIZED,1,1.0,4.605,0,6.00
white-box jailbreak method,SPECIALIZED,1,1.0,4.605,0,6.00
ηMCTS,SPECIALIZED,1,1.0,4.605,0,6.00
